Radar Mk II,Calibration Table,Note: Channels are linked. This is a very approximate guide only.,
,,,
Colour Value (RGB),,,
,R,G,B
184,0.798000,0.381400,0.372000
185,0.807500,0.389500,0.379000
186,0.817000,0.397600,0.386000
187,0.826500,0.405700,0.393000
188,0.836000,0.413800,0.400000
189,0.845500,0.421900,0.407000
190,0.855000,0.430000,0.414000
191,0.865500,0.441000,0.425600
192,0.876000,0.452000,0.437200
193,0.886500,0.463000,0.448800
194,0.897000,0.474000,0.460400
195,0.907500,0.485000,0.472000
196,0.918000,0.496000,0.483600
197,0.928500,0.507000,0.495200
198,0.939000,0.518000,0.506800
199,0.949500,0.529000,0.518400
200,0.960000,0.540000,0.530000
201,0.973000,0.558000,0.547200
202,0.986000,0.576000,0.564400
203,0.999000,0.594000,0.581600
204,1.012000,0.612000,0.598800
205,1.025000,0.630000,0.616000
206,1.038000,0.648000,0.633200
207,1.051000,0.666000,0.650400
208,1.064000,0.684000,0.667600
209,1.077000,0.702000,0.684800
210,1.090000,0.720000,0.702000
211,1.108000,0.752000,0.736800
212,1.126000,0.784000,0.771600
213,1.144000,0.816000,0.806400
214,1.162000,0.848000,0.841200
215,1.180000,0.880000,0.876000
216,1.198000,0.912000,0.910800
217,1.216000,0.944000,0.945600
218,1.234000,0.976000,0.980400
219,1.252000,1.008000,1.015200
220,1.270000,1.040000,1.050000
221,1.298000,1.116000,1.070000
222,1.326000,1.192000,1.100000
223,1.354000,1.268000,1.200000
224,1.382000,1.344000,1.300000
225,1.410000,1.420000,1.400000
226,1.438000,1.496000,1.600000
227,1.466000,1.572000,1.700000
228,1.494000,1.648000,2.000000
229,1.522000,1.724000,2.200000
230,1.550000,1.800000,2.400000
231,1.695000,2.000000,2.700000
232,1.840000,2.200000,3.000000
233,1.985000,2.500000,3.600000
234,2.130000,2.700000,4.700000
235,2.275000,3.000000,6.000000
236,2.420000,3.500000,
237,2.565000,4.000000,
238,2.710000,5.000000,
239,2.855000,6.000000,
240,3.000000,,
241,4.000000,,
242,5.000000,,
243,6.000000,,
244,7.000000,,
245,8.000000,,
246,9.000000,,
247,10.000000,,
248,13.000000,,
249,21.000000,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
